Gender, Age Range, Head Size(cm^3), Brain weight(grams)
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1200
1, 1, 3645, 1150
1, 1, 3630, 1120
1, 1, 3620, 1150
1, 1, 3650, 1180
1, 1, 3635, 1130
1, 1, 3660, 1160
1, 1, 3640, 1201
